CONTAINER ID   IMAGE                           COMMAND                 CREATED          STATUS          PORTS                      NAMES
3de247be81af   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10576->51820/udp   wireguard_peer576
472bdae94ef8   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10575->51820/udp   wireguard_peer575
01ee35f61798   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10574->51820/udp   wireguard_peer574
57a679476605   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10573->51820/udp   wireguard_peer573
f098763ad2e1   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10572->51820/udp   wireguard_peer572
a369d2b733ad   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10571->51820/udp   wireguard_peer571
9fa1db0a21ca   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10570->51820/udp   wireguard_peer570
1defa1e2814d   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10569->51820/udp   wireguard_peer569
e0a82b612aac   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10568->51820/udp   wireguard_peer568
4bbd0009e6bc   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10567->51820/udp   wireguard_peer567
e28c7c835c45   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10566->51820/udp   wireguard_peer566
3a987e429b10   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10565->51820/udp   wireguard_peer565
4ee5564081d2   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10564->51820/udp   wireguard_peer564
